n,time
50,0.0001892179998321808
60,0.0002030750001722481
70,0.000353869999798917
80,0.0004026460001114174
90,0.00047618700000384706
100,0.00048216499999398366
110,0.00311258200008524
120,0.0005276820002109162
130,0.0010658649998731562
140,0.0009264529999200022
150,0.0028277010001147573
160,0.0009741090002535202
170,0.0011793690000558854
180,0.0031937180001477827
190,0.0013816969999425055
200,0.001668350000272767
